citing_country,n_citations,n_citing_works,endogenous_any_n,endogenous_maj_n,scr_any,scr_majority,n_countries_cited,shannon_entropy,hhi,expected_scr,excess_endogeneity_any,excess_endogeneity_maj
IN,1370,116,242,133,0.17664233576642335,0.09708029197080292,83,3.191711750218471,0.08765501116284315,0.01075256595323884,0.1658897698131845,0.08632772601756408
DK,1340,68,414,96,0.30895522388059704,0.07164179104477612,71,2.9291658339193196,0.10007236568096627,0.009922822491730982,0.29903240138886605,0.061718968553045143
HK,1239,63,280,86,0.22598870056497175,0.06941081517352704,75,3.0228270041905945,0.09522244137628752,0.008217870173564146,0.2177708303914076,0.061192944999962896
SE,1221,93,345,96,0.28255528255528256,0.07862407862407862,63,2.8572664011773496,0.10647675736961452,0.013184964593823525,0.26937031796145905,0.0654391140302551
KR,1216,58,280,78,0.23026315789473684,0.06414473684210527,67,3.0808986768269917,0.09182708967599812,0.008206503824776367,0.22205665406996047,0.0559382330173289
IE,1203,89,376,111,0.31255195344970904,0.09226932668329177,76,2.9153392341644895,0.10159375695398286,0.00962729742324873,0.3029246560264603,0.08264202926004303
TW,1102,64,270,163,0.24500907441016334,0.14791288566243194,69,3.109394897537145,0.08471999158646777,0.007069868945998477,0.23793920546416486,0.14084301671643346
RU,1051,108,339,165,0.3225499524262607,0.15699333967649856,69,3.071296845429453,0.08811106293775059,0.006797076575091783,0.31575287585116896,0.15019626310140677
PL,1011,103,223,124,0.2205736894164194,0.12265084075173097,65,2.962241299253758,0.09551295128726985,0.0061605610429761645,0.21441312837344323,0.11649027970875481
LU,1008,22,147,44,0.14583333333333334,0.04365079365079365,62,2.902515109424258,0.10263511877265206,0.0014321599472601415,0.1444011733860732,0.04221863370353351
IR,888,45,272,107,0.3063063063063063,0.1204954954954955,70,3.043130894461504,0.1009015777610819,0.004091885563600405,0.3022144207427059,0.1164036099318951
BR,843,69,232,173,0.2752075919335706,0.20521945432977462,60,3.023772773653639,0.08822618592772828,0.007956444151445231,0.26725114778212533,0.1972630101783294
MY,832,35,145,36,0.17427884615384615,0.04326923076923077,82,3.3515717351132372,0.0697419146619568,0.0037622614487548165,0.17051658470509132,0.039506969320475954
TR,813,38,183,123,0.22509225092250923,0.15129151291512916,73,3.1974714177404877,0.07820344443869365,0.005455847418133873,0.21963640350437535,0.14583566549699528
PT,740,55,164,75,0.22162162162162163,0.10135135135135136,73,3.1646843434060967,0.07854161530484699,0.006876641016606236,0.2147449806050154,0.09447471033474512
ID,711,43,178,113,0.25035161744022505,0.1589310829817159,78,3.2849622509005947,0.07598764663595729,0.0036599643096648063,0.24669165313056024,0.1552711186720511
NO,632,40,143,33,0.22626582278481014,0.05221518987341772,55,2.8378443180724022,0.1189117535664689,0.00724036417781516,0.219025458606995,0.044974825695602565
