citing_country,citing_year,n_citations,scr_any,scr_majority
HK,2015,6,0,0
HK,2016,25,0.12,0.04
HK,2017,44,0.25,0.045454545454545456
HK,2018,11,0.2727272727272727,0.2727272727272727
HK,2019,68,0.4117647058823529,0.1323529411764706
HK,2020,80,0.1,0.05
HK,2021,150,0.19333333333333333,0.03333333333333333
HK,2022,115,0.16521739130434782,0.14782608695652175
HK,2023,92,0.16304347826086957,0.15217391304347827
HK,2024,364,0.29945054945054944,0.04945054945054945
HK,2025,171,0.25146198830409355,0.04093567251461988
HR,2013,2,0,0
HR,2014,3,0.3333333333333333,0
HR,2015,1,0,0
HR,2016,10,0.1,0
HR,2018,24,0.375,0.25
HR,2019,6,0.8333333333333334,0
HR,2020,4,0.25,0.25
HR,2021,43,0.5813953488372093,0.2558139534883721
HR,2022,70,0.4714285714285714,0.18571428571428572
HR,2023,35,0.14285714285714285,0
HR,2024,69,0.30434782608695654,0.028985507246376812
HR,2025,84,0.011904761904761904,0.011904761904761904
HU,2010,1,0,0
HU,2011,4,0.5,0
HU,2014,15,0,0
HU,2015,43,0.023255813953488372,0.023255813953488372
HU,2016,42,0.11904761904761904,0.09523809523809523
HU,2017,10,0.4,0
HU,2018,47,0.06382978723404255,0.06382978723404255
HU,2019,24,0.25,0.08333333333333333
HU,2020,12,0.16666666666666666,0.16666666666666666
HU,2021,15,0.26666666666666666,0
HU,2022,1,1,1
HU,2023,48,0.4166666666666667,0.020833333333333332
HU,2024,51,0.3333333333333333,0.0392156862745098
HU,2025,1,1,0
ID,2016,3,0,0
ID,2017,25,0.12,0
ID,2019,4,0,0
ID,2020,63,0.12698412698412698,0.06349206349206349
ID,2021,64,0.125,0.109375
ID,2022,66,0.3333333333333333,0.3333333333333333
ID,2023,166,0.24096385542168675,0.18072289156626506
ID,2024,167,0.33532934131736525,0.25149700598802394
ID,2025,139,0.2302158273381295,0.05755395683453238
IE,2006,8,0.625,0
IE,2007,2,0,0
IE,2010,5,0,0
IE,2011,3,0.6666666666666666,0
IE,2012,21,0.8095238095238095,0.14285714285714285
IE,2013,25,0.64,0.12
IE,2014,83,0.18072289156626506,0.10843373493975904
IE,2015,41,0.3902439024390244,0.04878048780487805
IE,2016,6,0.3333333333333333,0
IE,2017,20,0.05,0.05
IE,2018,93,0.3225806451612903,0.021505376344086023
IE,2019,146,0.14383561643835616,0.07534246575342465
IE,2020,96,0.3645833333333333,0.11458333333333333
IE,2021,193,0.13471502590673576,0.06217616580310881
IE,2022,320,0.40625,0.10625
IE,2023,25,0.4,0.28
IE,2024,98,0.4387755102040816,0.14285714285714285
IE,2025,18,0.3888888888888889,0.1111111111111111
IL,2004,6,0,0
IL,2006,17,0,0
IL,2007,39,0.3333333333333333,0.3333333333333333
IL,2011,36,0.1388888888888889,0.1388888888888889
IL,2013,100,0.23,0.14
IL,2014,51,0.3137254901960784,0.0196078431372549
IL,2016,113,0.23893805309734514,0.18584070796460178
IL,2017,14,0.21428571428571427,0.21428571428571427
IL,2018,12,0,0
IL,2019,158,0.18354430379746836,0.12025316455696203
IL,2020,57,0.17543859649122806,0.17543859649122806
IL,2021,178,0.07865168539325842,0.05056179775280899
IL,2022,304,0.2565789473684211,0.06907894736842106
IL,2023,270,0.32592592592592595,0.17407407407407408
IL,2024,26,0.4230769230769231,0.11538461538461539
IL,2025,138,0.38405797101449274,0.17391304347826086
IN,2007,7,0,0
IN,2008,9,0,0
IN,2011,21,0.23809523809523808,0.23809523809523808
IN,2014,19,0.05263157894736842,0
IN,2015,1,0,0
IN,2016,3,0.3333333333333333,0
IN,2017,28,0.32142857142857145,0.07142857142857142
IN,2018,99,0.12121212121212122,0.1111111111111111
IN,2019,36,0.08333333333333333,0.08333333333333333
IN,2020,23,0.043478260869565216,0
IN,2021,57,0.08771929824561403,0.07017543859649122
IN,2022,127,0.14173228346456693,0.07086614173228346
IN,2023,337,0.13056379821958458,0.0771513353115727
IN,2024,234,0.17094017094017094,0.11538461538461539
IN,2025,369,0.2791327913279133,0.12466124661246612
IR,2005,7,0,0
IR,2013,34,0.11764705882352941,0.11764705882352941
IR,2014,109,0.22018348623853212,0.22018348623853212
IR,2015,33,0.06060606060606061,0.06060606060606061
IR,2016,27,0.4074074074074074,0.4074074074074074
IR,2017,37,0.08108108108108109,0.08108108108108109
IR,2018,60,0.25,0.25
IR,2019,151,0.48344370860927155,0.11258278145695365
IR,2020,160,0.625,0.075
IR,2021,17,0.17647058823529413,0.17647058823529413
IR,2022,87,0.20689655172413793,0.12643678160919541
IR,2023,52,0.19230769230769232,0.038461538461538464
IR,2024,31,0.03225806451612903,0.03225806451612903
IR,2025,83,0.0963855421686747,0.024096385542168676
IT,2000,6,0.6666666666666666,0.6666666666666666
IT,2004,4,1,0
IT,2005,13,0.15384615384615385,0
IT,2006,2,0,0
IT,2007,67,0.11940298507462686,0.08955223880597014
IT,2008,64,0.3125,0.171875
IT,2009,22,0.5454545454545454,0.36363636363636365
IT,2010,55,0.32727272727272727,0.05454545454545454
IT,2011,147,0.5986394557823129,0.10884353741496598
IT,2012,94,0.2553191489361702,0.2553191489361702
IT,2013,94,0.4787234042553192,0.2553191489361702
IT,2014,179,0.36312849162011174,0.3016759776536313
IT,2015,506,0.30237154150197626,0.16403162055335968
IT,2016,340,0.22058823529411764,0.18235294117647058
IT,2017,501,0.3253493013972056,0.2155688622754491
IT,2018,652,0.2285276073619632,0.1196319018404908
IT,2019,357,0.32212885154061627,0.13445378151260504
IT,2020,533,0.27204502814258913,0.12195121951219512
IT,2021,650,0.2323076923076923,0.13384615384615384
IT,2022,742,0.39622641509433965,0.1495956873315364
IT,2023,678,0.2890855457227139,0.16371681415929204
IT,2024,835,0.3784431137724551,0.20239520958083831
IT,2025,609,0.26929392446633826,0.1297208538587849
JO,2004,14,0.9285714285714286,0.07142857142857142
JO,2019,22,0.09090909090909091,0.09090909090909091
JO,2021,5,0.8,0.2
JO,2022,40,0.6,0.075
JO,2023,17,0.11764705882352941,0.11764705882352941
JO,2025,26,0,0
JP,2000,2,0,0
JP,2001,73,0.1643835616438356,0.1643835616438356
JP,2005,22,0.4090909090909091,0.4090909090909091
JP,2007,67,0.47761194029850745,0.22388059701492538
JP,2008,32,0.625,0.25
JP,2009,32,0.125,0.125
JP,2010,11,0.18181818181818182,0.18181818181818182
JP,2011,9,0.2222222222222222,0.2222222222222222
JP,2012,32,0.1875,0.1875
JP,2013,4,0.5,0.5
JP,2014,2,0,0
JP,2015,81,0.2222222222222222,0.20987654320987653
JP,2016,3,0.3333333333333333,0
JP,2017,24,0.375,0.2916666666666667
JP,2018,132,0.24242424242424243,0.1590909090909091
JP,2019,70,0.1,0.1
JP,2020,141,0.2978723404255319,0.03546099290780142
JP,2021,110,0.23636363636363636,0.05454545454545454
JP,2022,216,0.38425925925925924,0.0787037037037037
JP,2023,131,0.16793893129770993,0.03816793893129771
JP,2024,113,0.23893805309734514,0.061946902654867256
JP,2025,150,0.20666666666666667,0.04
KR,2000,2,0,0
KR,2001,13,0,0
KR,2002,19,0.15789473684210525,0.10526315789473684
KR,2004,15,0,0
KR,2007,22,0.22727272727272727,0.22727272727272727
KR,2011,1,1,1
KR,2014,73,0.3287671232876712,0
KR,2016,17,0.058823529411764705,0.058823529411764705
KR,2017,41,0.4634146341463415,0
KR,2018,64,0.015625,0.015625
KR,2019,124,0.14516129032258066,0.08064516129032258
KR,2020,149,0.3825503355704698,0.06711409395973154
KR,2021,116,0.20689655172413793,0.017241379310344827
KR,2022,121,0.21487603305785125,0.1322314049586777
KR,2023,152,0.25,0.05263157894736842
KR,2024,52,0.40384615384615385,0.34615384615384615
KR,2025,204,0.13725490196078433,0.0196078431372549
KZ,2024,112,0.07142857142857142,0.008928571428571428
KZ,2025,29,0.034482758620689655,0.034482758620689655
LB,2019,8,0.875,0.125
LB,2024,110,0.13636363636363635,0
LT,2017,25,0.04,0.04
LT,2019,25,0.36,0
LT,2023,56,0.05357142857142857,0.05357142857142857
LT,2024,11,0.8181818181818182,0
LT,2025,30,0.9,0.1
LU,2015,14,0.5,0.07142857142857142
LU,2019,234,0.2564102564102564,0.004273504273504274
LU,2020,75,0.13333333333333333,0.04
LU,2021,209,0.12440191387559808,0.009569377990430622
LU,2022,322,0.08074534161490683,0.07453416149068323
LU,2023,146,0.1095890410958904,0.08904109589041095
LU,2024,8,0.25,0
LV,2017,9,0.1111111111111111,0
LV,2021,38,0.02631578947368421,0.02631578947368421
LV,2022,15,0.06666666666666667,0.06666666666666667
LV,2023,38,0.2631578947368421,0.02631578947368421
LV,2025,1,0,0
MA,2008,22,0.09090909090909091,0.09090909090909091
MA,2017,15,0.13333333333333333,0.13333333333333333
MA,2018,73,0.0273972602739726,0.0136986301369863
MA,2022,27,0.07407407407407407,0.07407407407407407
MA,2023,3,0,0
MA,2024,29,0.27586206896551724,0.06896551724137931
MO,2016,4,0,0
MO,2021,6,0,0
MO,2022,12,0,0
MO,2023,3,0.3333333333333333,0
MO,2024,53,0.16981132075471697,0.03773584905660377
MO,2025,79,0.21518987341772153,0
MX,2011,8,0.25,0
MX,2012,3,0,0
MX,2014,4,0,0
MX,2015,10,0,0
MX,2016,31,0.12903225806451613,0.0967741935483871
MX,2017,7,0,0
MX,2019,116,0.19827586206896552,0.0603448275862069
MX,2020,72,0.1111111111111111,0.06944444444444445
MX,2021,11,0.5454545454545454,0.2727272727272727
MX,2022,35,0.02857142857142857,0.02857142857142857
MX,2023,57,0.5614035087719298,0.05263157894736842
MX,2024,60,0.03333333333333333,0.03333333333333333
MX,2025,46,0.2391304347826087,0.06521739130434782
MY,2012,12,0,0
MY,2014,61,0.08196721311475409,0.01639344262295082
