id,publication_year,type,countries_str,n_countries
https://openalex.org/W2058747867,2006,article,GB,1
https://openalex.org/W1523388369,2012,book,GR;US,2
https://openalex.org/W205604151,2010,article,NA,0
https://openalex.org/W436779317,2012,article,US,1
https://openalex.org/W1491541790,2013,book,NA,0
https://openalex.org/W2502082222,2007,article,NA,0
https://openalex.org/W1487060125,2004,article,NA,0
https://openalex.org/W1239375374,2004,book,NA,0
https://openalex.org/W2047475087,2003,article,NA,0
https://openalex.org/W2137653635,2006,article,GB,1
https://openalex.org/W2076381052,2011,article,US,1
https://openalex.org/W2013434113,2013,article,GB;NL,2
https://openalex.org/W2172143128,2005,article,NA,0
https://openalex.org/W2145154883,2006,article,US,1
https://openalex.org/W2092251403,1989,article,US,1
https://openalex.org/W2140157849,2010,article,GB;NL,2
https://openalex.org/W1529006120,2006,book-chapter,US,1
https://openalex.org/W1751031346,2004,book-chapter,AU;NL,2
https://openalex.org/W2025553911,2007,letter,US,1
https://openalex.org/W2181886592,2016,article,AU;DE,2
https://openalex.org/W2531377616,2016,article,AU,1
https://openalex.org/W2111842914,2009,article,GB;NL,2
https://openalex.org/W1552027408,2001,article,US,1
https://openalex.org/W1603776115,2004,book-chapter,GB;US,2
https://openalex.org/W192671640,2013,article,NA,0
https://openalex.org/W1571858667,2002,article,NA,0
https://openalex.org/W1489846022,2004,book-chapter,GB,1
https://openalex.org/W2156222477,2007,article,GB,1
https://openalex.org/W2058488904,2013,article,BR,1
https://openalex.org/W4235571536,2016,editorial,NA,0
https://openalex.org/W2112578430,2011,article,BR,1
https://openalex.org/W1976472398,2010,article,US,1
https://openalex.org/W2297188004,2016,article,GB,1
https://openalex.org/W2949637399,2017,article,DE;GB,2
https://openalex.org/W1981333922,2003,article,BE;US,2
https://openalex.org/W2154055222,2009,article,US,1
https://openalex.org/W109255395,2007,article,GB,1
https://openalex.org/W27380173,2009,article,NA,0
https://openalex.org/W2098026067,2012,article,NL,1
https://openalex.org/W2478093132,2004,book,NA,0
https://openalex.org/W2044418050,2001,article,US,1
https://openalex.org/W2118678423,2008,article,AT;DE,2
https://openalex.org/W2282162911,2013,article,BE;ES;GB;PL,4
https://openalex.org/W82854020,2005,book,NA,0
https://openalex.org/W2028358851,2002,article,US,1
https://openalex.org/W2085651290,2009,article,NA,0
https://openalex.org/W2149614843,2005,article,US,1
https://openalex.org/W2059149015,2002,article,BR;FR,2
https://openalex.org/W2036757212,2005,article,AU,1
https://openalex.org/W1578330741,2010,article,NA,0
https://openalex.org/W2024879416,2010,article,DE,1
